Journal_Entry_Line,Amount,Journal_Entry_Text,Account_Number,Posting_Date,User_ID,Creation_Date,Debit,Credit,Debit_Credit_Type,Month,Weekday,Product,Branch
1472,-3035015.58,Filiale_1090__Apfel,3908000304,2022-02-10,FW,2022-02-28,0.00,-3035015.58,H,12,Thursday,Apfel,Filiale_1090
1473,-43985.84,Filiale_1090__Apfel,3908000304,2022-02-11,FW,2022-02-28,0.00,-43985.84,H,12,Friday,Apfel,Filiale_1090
1474,-1407543.71,Filiale_1090__Apfel,3908000304,2022-02-12,FW,2022-02-28,0.00,-1407543.71,H,12,Saturday,Apfel,Filiale_1090
1475,-2859073.25,Filiale_1090__Apfel,3908000304,2022-02-12,FW,2022-02-28,0.00,-2859073.25,H,12,Saturday,Apfel,Filiale_1090
1476,-185005.43,Filiale_1090__Apfel,3908000304,2022-02-14,FW,2022-02-28,0.00,-185005.43,H,12,Monday,Apfel,Filiale_1090
1477,-351885.68,Filiale_1090__Apfel,3908000304,2022-02-15,FW,2022-02-28,0.00,-351885.68,H,12,Tuesday,Apfel,Filiale_1090
1478,-8271937.92,Filiale_1090__Apfel,3908000304,2022-02-16,FW,2022-02-28,0.00,-8271937.92,H,12,Wednesday,Apfel,Filiale_1090
1479,-106140.06,Filiale_1090__Apfel,3908000304,2022-02-17,FW,2022-02-28,0.00,-106140.06,H,12,Thursday,Apfel,Filiale_1090
1480,-280619.12,Filiale_1090__Apfel,3908000304,2022-02-18,FW,2022-02-28,0.00,-280619.12,H,12,Friday,Apfel,Filiale_1090
1481,-21808.50,Filiale_1090__Apfel,3908000304,2022-02-19,FW,2022-02-28,0.00,-21808.50,H,12,Saturday,Apfel,Filiale_1090
1482,-82874.31,Filiale_1090__Apfel,3908000304,2022-02-19,FW,2022-02-28,0.00,-82874.31,H,12,Saturday,Apfel,Filiale_1090
1483,-274752.93,Filiale_1090__Apfel,3908000304,2022-02-21,FW,2022-02-28,0.00,-274752.93,H,12,Monday,Apfel,Filiale_1090
1484,-6229333.71,Filiale_1090__Apfel,3908000304,2022-02-22,FW,2022-02-28,0.00,-6229333.71,H,12,Tuesday,Apfel,Filiale_1090
1485,769747.79,Filiale_1090__Apfel,3908000304,2022-02-23,FW,2022-02-28,769747.79,0.00,S,12,Wednesday,Apfel,Filiale_1090
1486,-2232371.33,Filiale_1090__Apfel,3908000304,2022-02-24,FW,2022-02-28,0.00,-2232371.33,H,12,Thursday,Apfel,Filiale_1090
1487,-1099013.73,Filiale_1090__Apfel,3908000304,2022-02-25,FW,2022-02-28,0.00,-1099013.73,H,12,Friday,Apfel,Filiale_1090
1488,-17587.50,Filiale_1090__Apfel,3908000304,2022-02-26,FW,2022-02-28,0.00,-17587.50,H,12,Saturday,Apfel,Filiale_1090
